Timeratio,TimeInt,Timet,evadiff
0.001680672,1,595,0.2
0.001769912,1,565,0.07
0.002028398,1,493,0.08
0.002487562,1,402,0.53
0.001715266,1,583,0.15
0.001675042,1,597,0.08
0.001677852,1,596,0.03
0.001724138,1,580,0.13
0.001964637,1,509,0.08
0.001841621,1,543,0.18
0,0,597,0
0.001686341,1,593,0
0.001692047,1,591,0.08
0.002493766,1,401,0.23
0,0,257,0
0,0,141,0
0,0,598,0.03
0.001694915,1,590,0
0.001697793,1,589,0.38
0.001934236,1,517,0.03
0,0,595,0.21
0,0,595,0.27
0.001686341,1,593,0
0.001683502,1,594,0.94
0.001686341,1,593,0.27
0,0,563,0.3
0,0,513,0.09
0.002155172,1,464,0
0.001757469,1,569,0.09
0.002415459,1,414,0
0,0,414,0.64
0,0,66,0
0,0,52,0
0.001669449,1,599,0.05
0,0,347,0.48
0,0,329,0
0,0,284,0
0,0,278,0
0.001669449,1,599,0.3
0.001672241,1,598,0.66
0.001675042,1,597,2.31
0.001683502,1,594,0
0.001712329,1,584,1.17
0.001757469,1,569,0.32
0,0,545,0.04
0.001838235,1,544,0
0.001912046,1,523,3.8
0.002053388,1,487,0.08
0.001821494,1,549,1.79
0.001669449,1,599,0.05
0.001689189,1,592,0.94
0.001763668,1,567,0.37
0,0,520,0
0.0025,1,400,0.27
0.001669449,1,599,0.37
0,0,591,0.08
0.002207506,1,453,0.07
0,0,453,0.08
0,0,429,0.04
0,0,386,3.42
0,0,381,0
0,0,189,0
0,0,368,0
0,0,368,0
0.001757469,1,569,0.05
0.001760563,1,568,0.55
0,0,527,0.17
0,0,118,0.42
0,0,68,0.28
0,0,49,0.13
0,0,9,0
0,0,21,0
0,0,8,0
0.001683502,1,594,0.2
0.001689189,1,592,0.12
0.001706485,1,586,3.97
0.001709402,1,585,4.72
0,0,427,0.24
0,0,67,0
0.001886792,1,530,0.12
0.002016129,1,496,8.57
0.002207506,1,453,0
0.001694915,1,590,0.2
0,0,600,0.41
0.001675042,1,597,0.03
0,0,597,0.74
0.001677852,1,596,1.15
0.001692047,1,591,0.14
0,0,591,0.58
0.001730104,1,578,0.13
0.001730104,1,578,0.65
0.001760563,1,568,0.49
0.001766784,1,566,0.54
0.001883239,1,531,0.78
0.001937984,1,516,2.81
0,0,600,0.37
0,0,600,0.37
0.001669449,1,599,0.09
0.001675042,1,597,0.01
0,0,597,1.67
0.001686341,1,593,0.24
0.001915709,1,522,0.04
0.001709402,1,585,0.38
0.001718213,1,582,0.04
0,0,578,0.62
0.002155172,1,464,0.28
0.001669449,1,599,0.54
0.001865672,1,536,0.06
0.001669449,1,599,0.36
0.001757469,1,569,0.38
0.001675042,1,597,0.14
0.001686341,1,593,0.25
0.001926782,1,519,0.13
0.001669449,1,599,0.58
0.001672241,1,598,0
0.001675042,1,597,0.77
0,0,597,0.89
0.001724138,1,580,0.41
0.00209205,1,478,5.94
0,0,453,0
0,0,600,0.32
0.001669449,1,599,0.1
0.001672241,1,598,0.4
0.001680672,1,595,0.07
0.001669449,1,599,0.09
0.001703578,1,587,0.11
0.002057613,1,486,0.01
0.002061856,1,485,0.21
0.001890359,1,529,0.41
0.001984127,1,504,0.51
0,0,179,0
0,0,15,0
0.001760563,1,568,6.09
0.002114165,1,473,0.13
0.001779359,1,562,0
0.001669449,1,599,0.36
0,0,599,0.05
0.001675042,1,597,0.04
0.001692047,1,591,0.39
0,0,595,4.56
0.00170068,1,588,0.09
0,0,595,0.33
0.00174216,1,574,0.28
0,0,445,0.1
0,0,259,0.53
0.002053388,1,487,1.78
0.002164502,1,462,0
0,0,454,0.28
0.002227171,1,449,0
0,0,419,0
0.002392344,1,418,0
0.001669449,1,599,0.74
0.001672241,1,598,0.14
0.001675042,1,597,0.28
0.002207506,1,453,0.16
0.002283105,1,438,0.29
0.002369668,1,422,0
0,0,600,0.3
0.001669449,1,599,0.24
0.001672241,1,598,0.56
0.001675042,1,597,0.76
0.001677852,1,596,0.4
0.001745201,1,573,2.85
0.001766784,1,566,2.69
0.001872659,1,534,3.22
0,0,600,0.3
0.002074689,1,482,0.11
0.002257336,1,443,0.25
0.001697793,1,589,0.68
0.001669449,1,599,0.37
0,0,54,3.24
0.001669449,1,599,0.13
0.001694915,1,590,0.07
0.001712329,1,584,0
0.001709402,1,585,0.41
0,0,600,0.65
0.001669449,1,599,0.21
0.001677852,1,596,0.34
0.001680672,1,595,0.48
0.001683502,1,594,0.31
0.001686341,1,593,0.56
0.001669449,1,599,0.21
0,0,307,1.64
0,0,307,0.59
0,0,130,0
0.001692047,1,591,1.25
0,0,453,0.23
0.001683502,1,594,0.58
0.001845018,1,542,0.28
0.001669449,1,599,0.06
0.001798561,1,556,0.25
0.001949318,1,513,0
0.002114165,1,473,0
0.001669449,1,599,0.04
0,0,516,0.03
0,0,418,0.13
0.001669449,1,599,0.2
0,0,599,0.51
0,0,599,0.03
0.001675042,1,597,0.37
0.001792115,1,558,0.57
0.00203252,1,492,9.54
0.001736111,1,576,0.11
0.00209205,1,478,0.13
0.002141328,1,467,0.48
0,0,418,0
0,0,418,0
0.002421308,1,413,0
0.002427184,1,412,0
0,0,412,0
0,0,412,0
0,0,412,0
0,0,334,1.38
0.001692047,1,591,0.26
0,0,454,0.55
0.00248139,1,403,0.11
0,0,600,0.03
0.001694915,1,590,0.92
0.002057613,1,486,0.58
0.001675042,1,597,1.09
0.001745201,1,573,1.62
0.001694915,1,590,0.43
0.001730104,1,578,0.06
0.001763668,1,567,0.29
0,0,564,0.08
0.001841621,1,543,0.92
0.001818182,1,550,0.01
0.001886792,1,530,0.02
0,0,444,9.99
0.001980198,1,505,0
0.00203252,1,492,0
0,0,233,0.26
0,0,176,0
0.001672241,1,598,0.09
0.001730104,1,578,0.2
0.002057613,1,486,0.92
0.002061856,1,485,0.16
0.002087683,1,479,0.13
0,0,4,0
0.001669449,1,599,0.12
0.002493766,1,401,0.27
0.00173913,1,575,0.44
0.001669449,1,599,0
0.001672241,1,598,0
0.001672241,1,598,0.16
0,0,598,0.13
0.001675042,1,597,0.22
0,0,596,1.16
0,0,180,0.24
0.001669449,1,599,0.37
