Timeratio,evadiff
0.001675042,0.37
0.001792115,0.57
0.00203252,9.54
0.001736111,0.11
0.00209205,0.13
0.002141328,0.48
0,0
0,0
0.002421308,0
0.002427184,0
0,0
0,0
0,0
0,1.38
0.001692047,0.26
0,0.55
0.00248139,0.11
0,0.03
0.001694915,0.92
0.002057613,0.58
0.001675042,1.09
0.001745201,1.62
0.001694915,0.43
0.001730104,0.06
0.001763668,0.29
0,0.08
0.001841621,0.92
0.001818182,0.01
0.001886792,0.02
0,9.99
0.001980198,0
0.00203252,0
0,0.26
0,0
0.001672241,0.09
0.001730104,0.2
0.002057613,0.92
0.002061856,0.16
0.002087683,0.13
0,0
0.001669449,0.12
0.002493766,0.27
0.00173913,0.44
0.001669449,0
0.001672241,0
0.001672241,0.16
0,0.13
0.001675042,0.22
0,1.16
0,0.24
0.001669449,0.37
0.001858736,0.23
0,0.11
0,0.3
0,0.54
0.00172117,0.46
0.002237136,0.97
0,0.8
0,0
0.001669449,0.19
0.001672241,0.31
0.001862197,0.05
0,0
0.001669449,0.05
0.001686341,2.13
0.001689189,0.52
0.001692047,0.03
0.001694915,0.31
0.001724138,0.06
0.001964637,0.18
0.002024291,0.19
0.002114165,0.28
0.002277904,0.07
0.002304147,0.51
0.002309469,0.39
0.002364066,0
0,60.17
0,9.33
0.002457002,11.29
0.002463054,0
0.0025,0
0.001838235,0.31
0.002202643,0.14
0.002415459,0.38
0,0
0,0
0.001862197,0.01
0.001949318,0
0.00210084,0
0.002105263,0
0.001669449,0.41
0,64.79
0.001669449,0.02
0.001675042,0.08
0,0.04
0.001672241,0.32
0.001677852,0.16
0.001715266,0.13
0,0.47
0,0.15
0,0.01
0,0
0.001788909,0
0,0.76
0.00174216,5.78
0,0.56
0.002192982,0.39
0.002,0.24
0.001680672,0.11
0.001748252,0.13
0.002304147,0.69
0.001669449,0.05
0.001672241,0.08
0.001672241,0.02
0.001675042,0.18
0.00172117,0.29
0,0
0,0
0.001669449,0.05
0,0.05
0.001683502,1.08
0.00173913,0.89
0.001795332,0.39
0.001934236,0
0.001964637,0
0.001669449,0.05
0.001672241,0.01
0.001795332,4.93
