Color,Timeratio,TimeInt,MoveNumber,eva,Termination,Piece
0,0.920810313,5,13,7.76,0,Queen
0,0.283286119,1,32,7.91,0,Rook
0,1.072961373,5,27,11.5,0,Knight
1,0.272479564,1,32,-5.54,0,Bishop
1,0.710479574,4,8,1.12,0,Knight
0,1.886792453,9,26,5.89,0,Knight
0,0.985221675,2,53,73.05,0,Pawn
1,0.917431193,1,62,59.47,1,King
1,0.751879699,1,68,0,0,King
1,1.288659794,5,20,-13.24,1,Queen
0,0.890207715,3,27,10.69,0,Rook
0,4.747774481,16,20,7.68,0,Pawn
1,0.397614314,2,22,-7.61,0,Rook
0,11.53846154,3,72,0,0,Queen
0,1.020408163,3,27,8.7,0,Rook
0,4.135338346,11,28,10.9,0,Bishop
0,2.542372881,6,27,19.53,0,Rook
1,2.830188679,3,28,-7.82,0,Rook
0,0.738916256,3,27,9.07,0,Queen
0,1.877934272,8,20,17,0,Queen
0,12.02531646,19,35,18,0,Rook
1,2.475247525,5,30,7.29,1,Knight
1,5.128205128,6,29,-6.31,1,Pawn
0,2.631578947,7,35,9.75,0,Knight
1,1.658767773,7,27,-8.32,0,Pawn
0,0.985221675,4,28,10.92,0,Bishop
1,2.745098039,7,22,-1.07,1,Knight
1,2.183406114,5,41,-12.31,0,Rook
1,2.341137124,7,32,-59.86,0,Bishop
0,9.722222222,7,44,0.72,1,King
1,0.45045045,1,43,-9.23,1,Rook
1,0.529100529,2,26,-13.13,0,Pawn
0,6.730769231,7,35,13.25,1,Bishop
0,3.056768559,7,43,8.06,0,Rook
0,1.315789474,4,31,20.61,0,Rook
1,1.03626943,4,29,-9.82,0,Knight
0,0.371747212,2,12,8.06,0,Rook
1,2.112676056,6,40,-8.44,0,Pawn
0,2.830188679,3,41,10.53,0,Bishop
0,15.34883721,33,25,10.86,0,Bishop
0,3.726708075,12,33,16.53,0,Knight
0,18.30065359,28,28,-5.92,0,Rook
1,7.575757576,5,47,-7.44,1,Pawn
1,0.791556728,3,21,-4.96,1,Knight
0,1.754385965,2,66,10.57,1,Pawn
0,2.976190476,10,26,-8.65,1,King
0,4.04040404,4,34,17.22,1,Knight
0,3.238866397,8,33,6.77,0,Bishop
0,0.265251989,1,22,8.21,0,Bishop
1,0.5,1,48,-1.44,1,Rook
0,0.263852243,1,29,7.67,0,Queen
0,3.214285714,9,44,9.84,1,Pawn
1,2.696078431,11,20,8.61,0,Queen
0,0.42462845,2,26,5.94,0,King
1,0.23364486,1,21,-13.77,0,Pawn
0,5.128205128,10,28,15.44,0,Rook
1,7.623318386,17,24,6.21,0,Knight
0,1.639344262,7,27,7.61,0,Queen
0,5.882352941,1,59,0,0,King
1,1.2,6,19,-9.89,0,Pawn
1,1.935483871,3,38,-9.12,1,Pawn
1,2.31092437,11,20,-17.44,0,Queen
0,0.334448161,1,23,-5.01,0,King
0,1.08401084,4,34,9.77,0,Knight
1,4.6875,12,33,-13.79,0,Rook
1,4.761904762,4,37,-3.51,1,King
0,0.600600601,2,55,59.15,0,King
1,1.70212766,4,28,-9.44,0,Queen
0,6.25,9,42,12.84,0,Queen
0,39.28571429,22,37,-2.93,0,Pawn
0,2.294455067,12,18,9.77,0,Pawn
1,1.832460733,7,19,-12.81,0,King
0,1.123595506,6,14,5.97,0,Queen
1,400,4,28,19.77,0,King
1,6.666666667,6,47,1.43,1,Rook
1,0.622406639,3,33,-10.16,0,Rook
0,0.604229607,2,31,0,0,Rook
0,0.427350427,1,36,15.33,0,Knight
0,0.241545894,1,25,-9.05,0,King
1,3.040540541,9,31,-8.29,0,Bishop
1,0.808080808,4,16,-13.07,0,Queen
0,18.75,3,66,0,0,King
1,0.480769231,1,58,-59.97,1,Pawn
0,1.775147929,3,36,10.82,0,Rook
0,0.858369099,2,56,0,0,King
0,0.657894737,2,43,4,0,Knight
1,1.666666667,1,49,-65.98,0,Rook
1,200,16,28,5.72,0,Bishop
0,12.24489796,54,22,11.59,0,Queen
0,0.539083558,2,36,11.75,0,Rook
1,6.859205776,19,32,-9.6,1,Rook
1,1.263157895,6,23,7.66,1,Knight
0,7.738095238,13,35,12.82,1,Bishop
1,0.227790433,1,33,-7.55,0,Rook
0,0.646551724,3,15,-8.61,0,Queen
0,0.677966102,2,29,8.21,0,Rook
1,0.176366843,1,10,-7.46,0,Bishop
1,1.689189189,5,21,-8.38,0,Knight
0,0.575815739,3,13,-9.01,0,Knight
0,0.438596491,2,22,-19.87,0,King
0,2.836879433,4,30,12.75,0,Bishop
1,1.506591337,8,15,-8.29,0,Knight
0,0.235294118,1,24,9.43,0,Queen
1,1.633393829,9,12,-8.14,0,Pawn
1,7.659574468,18,52,0,1,Queen
0,37.13235294,101,21,-6.05,1,Rook
0,0.398406375,2,21,13,0,Rook
0,0.381679389,2,19,9.74,0,Queen
0,2.298850575,10,26,9.63,0,Rook
1,2.142857143,3,42,-12.07,0,Pawn
0,0.453514739,2,14,8.99,0,Bishop
1,5.243445693,14,26,-15.82,0,Rook
0,2.771855011,13,12,0.07,0,Bishop
0,1.246882793,5,18,-6.98,0,Knight
0,0.714285714,1,67,0,0,Pawn
0,1.492537313,7,12,-1.16,1,King
0,0.483091787,1,34,-8.07,1,Bishop
1,0.253164557,1,32,72.12,0,Rook
1,2.405498282,7,29,-12.36,0,Rook
1,5.747126437,5,65,0,0,King
0,40.83333333,49,30,7.05,1,Pawn
1,5.925925926,16,25,-10.23,0,Rook
0,4.324324324,16,33,63.84,0,Rook
1,0.604229607,2,27,-11.08,0,Queen
1,4.95049505,15,23,-0.47,1,Queen
0,0.622406639,3,27,7.77,0,Rook
1,0.343642612,2,9,-1.09,0,Pawn
1,1.510574018,5,15,-1.32,0,Pawn
1,0.787401575,3,28,-13.52,0,Bishop
0,1.968503937,10,21,3.81,0,Bishop
0,2.941176471,11,24,13.55,0,Knight
1,0.740740741,4,23,-8.46,0,King
1,26.1682243,56,22,-16.84,0,Bishop
0,16.08040201,32,21,9.36,0,Pawn
0,0.689655172,3,21,5.22,0,Bishop
0,0.546448087,2,23,12.08,0,Queen
1,0.193050193,1,23,-10.18,0,Queen
1,1.846965699,7,25,-20.31,0,Queen
1,0.555555556,3,11,6.02,0,King
0,8.982035928,15,23,10.28,0,Bishop
1,1.044386423,4,18,-9.5,0,Pawn
1,1.754385965,6,24,-5.03,1,Queen
0,7.482993197,33,22,8.48,0,Bishop
0,16.11570248,39,27,6.85,0,Rook
0,2.689486553,11,21,18.89,0,Knight
1,0.537634409,1,36,-6.92,0,Pawn
1,0.496277916,2,35,-15.38,0,King
1,0.946969697,5,23,-9.77,0,Rook
1,0.406504065,2,19,-9.15,0,Bishop
0,0.547945205,2,25,7.85,0,Queen
0,0.196463654,1,29,8.67,0,Bishop
1,1.369863014,2,32,-9.31,0,Queen
1,1.408450704,1,83,0,0,King
0,1.388888889,3,47,8.92,1,Pawn
0,1.21703854,6,11,7.94,1,Knight
1,0.4,1,46,-5.24,1,King
0,3.118908382,16,11,5.92,0,Queen
1,0.8,3,30,-19.75,1,Rook
1,2.545454545,7,38,-9.84,0,Knight
0,2.424242424,4,96,0,0,Rook
1,0.709219858,2,37,-10.3,0,Knight
0,0.220264317,1,31,0,0,Queen
0,0.642398287,3,25,10.25,0,Queen
1,1.923076923,3,51,6.43,1,King
1,0.954653938,4,36,-6.38,0,Queen
0,1.116071429,5,17,7.3,0,Bishop
1,0.673400673,2,34,-15,0,Knight
0,11.83673469,29,25,8.88,1,King
0,1.234567901,2,47,-7.62,0,King
1,1.260504202,6,16,-7.01,0,Queen
1,0.202839757,1,14,13.61,0,Knight
0,3.125,14,19,-7.84,0,Queen
0,0.716845878,2,53,0,1,Knight
1,0.191204589,1,16,-13.08,0,Bishop
0,9.655172414,28,35,9.36,0,Queen
1,1.642335766,9,9,9.38,1,Knight
1,0.717703349,3,26,-14.17,0,Knight
1,0.486618005,2,38,-64.65,0,Pawn
1,1.01010101,2,46,-65.38,0,Pawn
1,0.393700787,2,23,-11.92,0,Bishop
0,0.392156863,1,42,10.17,0,Knight
1,0.751879699,3,27,-24.45,0,Queen
1,13.33333333,6,49,1.03,0,Bishop
0,1.818181818,7,30,9.04,0,Rook
0,0.9375,3,32,31.75,0,Pawn
0,1.152737752,4,37,9.61,0,Queen
1,6.068601583,23,23,-13.1,0,Queen
0,0.460829493,2,22,6.21,1,Pawn
0,1.041666667,4,21,13.1,0,Queen
0,1.694915254,7,38,23.39,0,Queen
0,2.401746725,11,21,9.44,0,Bishop
0,0.408163265,2,16,8.58,0,Queen
0,2.392344498,5,33,10.56,0,Rook
0,1.176470588,3,54,-7.7,1,Rook
1,0.497512438,2,40,-17.93,0,Rook
1,1.744186047,6,24,-8.74,1,Bishop
0,3.448275862,2,56,0,0,King
1,16.78082192,49,18,-7.94,0,Queen
0,2.8,7,47,-1.02,0,Bishop
0,0.578034682,1,40,37.1,0,Pawn
0,1.385681293,6,22,9.02,0,Queen
1,1.923076923,5,28,-10.73,0,Knight
1,0.423728814,1,53,-58.3,1,King
0,3.571428571,1,29,65.81,0,Bishop
0,0.389105058,1,40,15.36,0,King
1,100,2,46,0,0,Queen
1,0.549450549,2,39,-6.52,0,King
0,2.158273381,9,25,7.31,0,Rook
0,0.985221675,4,25,16.75,0,Queen
1,7.188160677,34,9,19.85,0,Bishop
1,2.702702703,6,33,16.44,1,Knight
1,0.941176471,4,25,15.77,0,King
1,0.440528634,1,25,-7.08,0,Queen
1,0.454545455,2,23,-8.23,1,Pawn
1,0.182149362,1,15,-10.31,0,Bishop
1,3.159851301,17,15,-9.23,0,Bishop
0,8.411214953,18,29,8.56,0,Rook
0,0.699300699,4,14,9.69,0,Bishop
0,1.047120419,2,30,9.85,0,Knight
1,3.915662651,13,44,-61.44,0,Queen
1,2.579365079,13,12,-17.21,0,Queen
0,0.522193211,2,25,-0.62,0,Knight
0,2.325581395,1,88,-0.02,0,Bishop
0,0.432900433,2,17,5.94,0,Pawn
1,3.03030303,9,32,-22.62,0,Pawn
1,0.967741935,3,18,-9.57,0,Knight
1,1.739130435,8,21,-9.89,0,Rook
0,2.445652174,9,38,9.78,0,Queen
1,0.306748466,1,34,-13.46,0,King
1,1.612903226,3,34,-14.94,0,Bishop
1,1.639344262,2,48,-12.61,0,Queen
0,0.668896321,2,46,5.23,0,Rook
1,0.544959128,2,29,-5.08,0,Rook
1,0.240384615,1,41,-63.4,0,King
1,4.672897196,10,37,-57.89,0,Rook
1,6.622516556,10,47,16.6,1,Queen
1,1.22324159,4,34,4.19,1,King
0,5.660377358,15,22,6.77,0,Rook
1,0.46728972,1,69,0,0,King
1,2.43902439,3,44,-84.38,0,Queen
0,0.79787234,3,37,11.53,0,Rook
0,0.492610837,2,22,6.9,0,Rook
0,1.007556675,4,37,0.32,1,King
0,0.380228137,2,12,7.1,0,Bishop
1,1.098901099,3,26,-13.33,0,Rook
0,6.739130435,31,13,0.98,0,Pawn
0,0.433839479,2,30,-4.87,0,King
1,1.327433628,6,22,-9.38,0,Rook
0,1.428571429,5,31,11.92,0,Bishop
1,0.804828974,4,12,-15.36,0,Pawn
1,0.394477318,2,14,5.47,0,Queen
1,0.683371298,3,25,-17.44,0,Queen
1,3.448275862,6,38,-12.85,0,Pawn
0,2.47148289,13,14,-9.48,0,King
0,0.261780105,1,61,0,0,King
1,0.666666667,1,37,3.06,0,Queen
